username,password
RED_DOG,RED_DOG
WHITE_DOG,WHITE_DOG
BLACK_DOG,BLACK_DOG
GREEN_DOG,GREEN_DOG
BLUE_DOG,BLUE_DOG
GRAY_DOG,GRAY_DOG
ORANGE_DOG,ORANGE_DOG
BROWN_DOG,BROWN_DOG
RED_CAT,RED_CAT
WHITE_CAT,WHITE_CAT
BLACK_CAT,BLACK_CAT
GREEN_CAT,GREEN_CAT
BLUE_CAT,BLUE_CAT
GRAY_CAT,GRAY_CAT
ORANGE_CAT,ORANGE_CAT
BROWN_CAT,BROWN_CAT
RED_HORSE,RED_HORSE
WHITE_HORSE,WHITE_HORSE
BLACK_HORSE,BLACK_HORSE
GREEN_HORSE,GREEN_HORSE
BLUE_HORSE,BLUE_HORSE
GRAY_HORSE,GRAY_HORSE
ORANGE_HORSE,ORANGE_HORSE
BROWN_HORSE,BROWN_HORSE
RED_LION,RED_LION
WHITE_LION,WHITE_LION
BLACK_LION,BLACK_LION
GREEN_LION,GREEN_LION
BLUE_LION,BLUE_LION
GRAY_LION,GRAY_LION
ORANGE_LION,ORANGE_LION
BROWN_LION,BROWN_LION
RED_FROG,RED_FROG
WHITE_FROG,WHITE_FROG
BLACK_FROG,BLACK_FROG
GREEN_FROG,GREEN_FROG
BLUE_FROG,BLUE_FROG
GRAY_FROG,GRAY_FROG
ORANGE_FROG,ORANGE_FROG
BROWN_FROG,BROWN_FROG
RED_SHARK,RED_SHARK
WHITE_SHARK,WHITE_SHARK
BLACK_SHARK,BLACK_SHARK
GREEN_SHARK,GREEN_SHARK
BLUE_SHARK,BLUE_SHARK
GRAY_SHARK,GRAY_SHARK
ORANGE_SHARK,ORANGE_SHARK
BROWN_SHARK,BROWN_SHARK
RED_EAGLE,RED_EAGLE
WHITE_EAGLE,WHITE_EAGLE
BLACK_EAGLE,BLACK_EAGLE
GREEN_EAGLE,GREEN_EAGLE
BLUE_EAGLE,BLUE_EAGLE
GRAY_EAGLE,GRAY_EAGLE
ORANGE_EAGLE,ORANGE_EAGLE
BROWN_EAGLE,BROWN_EAGLE
RED_SNAKE,RED_SNAKE
WHITE_SNAKE,WHITE_SNAKE
BLACK_SNAKE,BLACK_SNAKE
GREEN_SNAKE,GREEN_SNAKE
BLUE_SNAKE,BLUE_SNAKE
GRAY_SNAKE,GRAY_SNAKE
ORANGE_SNAKE,ORANGE_SNAKE
BROWN_SNAKE,BROWN_SNAKE
